date,province,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2026-07-12,KG,913490,05117,43178,28938,00448,08116,22527,47561,86576,7846,8335,7796,0344,455,99
2026-07-12,DL,579838,48236,61616,70723,06136,03080,83183,25421,53881,7721,4134,8317,1305,579,65
2026-07-13,TTP,256022,76748,64476,04976,02576,90043,55833,67619,06219,7645,3498,1040,1591,053,16
2026-07-13,DT,439097,10472,47597,13182,13302,93536,92699,52930,41349,8451,5538,3369,6966,032,04
2026-07-13,CM,303404,90382,93956,15667,06530,27175,90925,66397,63591,8357,9069,9501,4841,874,70
2026-07-14,BTR,681119,56088,08596,41478,00179,09898,90423,61459,72185,0921,2427,4215,9827,457,42
2026-07-14,VT,955319,17861,42300,65642,57053,53264,53387,39050,78457,4164,4897,7947,5148,345,92
2026-07-14,BL,258393,92144,36777,40502,91329,95949,51833,00248,20070,1876,5435,5195,2475,404,69
2026-07-15,DNA,008402,71200,80517,34150,64151,55010,13786,58671,06858,0406,7234,0593,5348,116,10
2026-07-15,CT,867898,46874,60099,95096,56949,10149,59317,08464,63611,5790,4867,3131,0548,411,05
2026-07-15,ST,282199,36842,76508,95472,31367,44078,02042,01604,52838,6550,6588,3670,9501,569,96
2026-07-16,TNI,085113,01378,09628,17532,66620,90022,64615,28858,13087,2023,6219,7281,9418,767,70
2026-07-16,AG,830834,54496,03014,55582,44217,45145,75742,89903,92299,0874,8156,4612,0981,809,54
2026-07-16,BTH,623836,57643,20472,76773,89731,91772,82436,97975,10625,4618,6227,6641,7200,445,23
2026-07-17,VL,899058,18214,89620,60451,52254,98024,65171,48803,78929,5767,7881,0607,8701,789,33
2026-07-17,BD,265991,31741,41594,21083,73708,83541,95443,93377,19565,2727,4108,3730,3980,064,50
2026-07-17,TV,561324,55489,77085,58056,04366,04497,95725,31392,22442,4738,3579,2899,9275,231,23
2026-07-18,HCM,246882,59174,78893,29076,17449,11970,72294,56366,79173,5799,7042,7726,0734,342,78
2026-07-18,LA,203770,25194,54718,89947,80160,43411,41630,42690,44224,8646,6565,0088,3591,801,18
2026-07-18,BP,962811,72964,88305,14168,90798,27861,90239,15018,83523,4588,9799,3160,5556,391,11
2026-07-18,HGG,019407,27793,02702,45143,18076,82669,32028,56757,84499,3647,8901,1489,1619,998,27
2026-07-19,TGI,486026,82978,01288,17485,36461,89657,50741,73041,97878,0773,5916,3248,7386,623,27
2026-07-19,KG,310228,30176,12877,64457,30871,06037,55223,65942,08198,7408,3004,2143,2681,871,80
2026-07-19,DL,087842,47409,18224,32207,76311,14894,01559,37943,80545,3182,4644,6422,6783,910,36
